stock,sharpe
inoq,0.6137399693085607
fls,0.6111950804605112
gug,0.6106032836974562
AOS,0.6098555101549761
main,0.6095758787889932
nrgv,0.6071847721126662
ll,0.6067794476062053
goac,0.6052972266209407
it,0.6049551296629999
gdl,0.60459133942891
foa,0.6045331169526389
prpc,0.6041805389162745
fof,0.6030849542524543
mgu,0.6026337696230578
jnpr,0.6008963306199496
ihta,0.6006719080895856
gsbd,0.6003582876321861
do,0.5997564038208317
gdl,0.59748214094709
eqd,0.5971528657523515
cwen,0.5968540407116417
esmt,0.5957794297632383
mgp,0.5955734023541668
cubb,0.595165043755586
mmc,0.5949453887737236
hubs,0.5947169142511249
iex,0.5930077270424374
sam,0.5926405599787656
fgb,0.59242509655583
itgr,0.5921013833118093
matx,0.5919947667893107
hipo,0.5919076570103828
hubs,0.5916719570825735
asr,0.5914678012968893
mcn,0.5905265185743904
iex,0.5897970321871923
clpr,0.5895265636143184
este,0.5893135199917355
goac,0.5886617316378154
hipo,0.5863443083567229
mogu,0.5851064758188426
cnx,0.5830304298170288
cmsd,0.5819739517753303
dre,0.58039076157164
fact,0.5797683529637261
cfx,0.5796941948831577
g,0.578906472784433
hlx,0.5787082895469228
dukb,0.5785504432469478
cba,0.578123428106598
cccs,0.5776679241030739
gwre,0.5775700050005762
lcw,0.5761734044855787
ACM,0.576027434442313
geo,0.5753653257645557
gpja,0.5742937497205595
hmlp,0.5738245197880991
bip,0.5732406089775759
erf,0.5729069576694272
ATIP,0.572022441260513
dnb,0.571799473133554
fact,0.5715711904789097
gapa,0.5713288812594133
ajx,0.5709707978853169
hmlp,0.570902480033413
icnc,0.5685149882670971
frge,0.5676017759298305
locl,0.5672684256428824
fbhs,0.5671575072191597
fbhs,0.5667524729996187
dd,0.5666573939308137
mtdr,0.5664307552113074
cal,0.5663989521674127
fmy,0.5660840621119214
stz,0.5657831763155462
gsqb,0.5655445859526319
ktf,0.5655444383653184
frge,0.565396231304106
gsl,0.5649047461154487
fnb,0.5643958442148181
dell,0.5643628538139552
gapa,0.5642872303497314
cyd,0.564258813619726
beph,0.5637132560690772
glob,0.5632372014301052
j,0.5614515682269359
bepc,0.5608297498160102
ifn,0.5608281606115991
ken,0.5606173158811439
desp,0.5604615010345678
ARW,0.5601813194462353
ety,0.5593327225845716
fthy,0.5587629036591266
hpp,0.558637414295207
dow,0.5580111248689522
LFG,0.5577999998233287
cno,0.5575173627425617
FINS,0.5565802230556158
chra,0.5564815121697064
mmt,0.5562463601994644
cna,0.5556950246898553
cpri,0.5555575509563213
frxb,0.5554849614149157
ANAC,0.5551966196998933
hpp,0.5550280740115876
cnc,0.5547150401389341
ASXC,0.5534277250424309
insw,0.5529770417688474
utf,0.5526691938785373
lxu,0.5523775949937282
gge,0.5503903082515607
frxb,0.5500871332856256
eoi,0.549034166275898
ccrd,0.5489791246415876
bsl,0.5489371298068721
frt,0.5473014598131218
sxus,0.5471940450743819
AMH,0.5470950526468132
plow,0.54690637418221
irm,0.5464336786109222
cnda,0.5462224569748144
cpt,0.5458859422010789
tgr,0.5457742937794678
mbac,0.5420575860790083
krg,0.5412673173774776
biph,0.540969361325346
dhx,0.5407581372024168
kio,0.5407291086384246
evtc,0.5388159278356779
ful,0.5385701676010122
ACHR,0.5382452957180376
cpuh,0.5382039226397423
hma,0.538142701071488
dq,0.5375266057937006
cee,0.53735715224488
law,0.5369307850240139
gmta,0.5360388401570817
kkrs,0.5354185949274654
fhs,0.5346230269370719
exr,0.5346213861696448
jun,0.5339639775423811
