stock,direction,RSI,RSIRev,fair_value_mult,dev_quantile,drop,climb,geomean,score,sharpe
OKTA,1,6713.043478260869,3286.956521739131,0.6357388316151202,0.6357388316151202,0.8086538461538462,0.31153846153846154,0.5019230769230769,0.5648822801998157,1.343240962932637
OPEN,0,2976.878612716763,7023.121387283237,0.2,0.2,0.6652542372881356,0.5847457627118644,0.6237023299462255,0.3531861633604085,0.9412884790015322
PANW,0,5498.392282958199,4501.607717041801,0.5731319554848967,0.5731319554848967,0.7998236331569665,0.7601410934744268,0.7797299603674501,0.6684969386134522,0.9264858706142559
PINS,1,2984.3750000000005,7015.625,0.20336391437308868,0.20336391437308868,0.1509433962264151,0.17547169811320754,0.16274610304036094,0.1819249421141967,0.6783712943538851
PTON,0,189.0359168241966,9810.964083175804,0.022099447513812154,0.022099447513812154,0.002386634844868735,0.015513126491646777,0.006084748822903084,0.011596102243705728,0.7744397848465402
PUBM,1,8977.777777777777,1022.2222222222226,0.7322175732217573,0.7322175732217573,0.9739130434782609,0.9739130434782609,0.9739130434782609,0.8444621040784885,0.8285862265914933
QDEL,1,5514.469453376207,4485.530546623793,0.7217806041335453,0.7217806041335453,0.5617283950617284,0.46119929453262787,0.5089879561653836,0.6061168488812607,0.933997293585132
RBLX,1,9878.048780487805,121.95121951219517,0.9550561797752809,0.9550561797752809,0.9259259259259259,0.9814814814814815,0.9532990871284259,0.9541772289968657,1.254199846650159
RDFN,0,904.0074557315938,9095.992544268407,0.05427782888684453,0.05427782888684453,0.24610591900311526,0.015057113187954309,0.06087400659276028,0.0574813788413125,0.5393233343323018
RGEN,0,3545.016077170418,6454.983922829582,0.4332273449920509,0.4332273449920509,0.2848324514991182,0.8112874779541446,0.480708852858168,0.45635098338660185,1.2675964899790113
ROKU,0,48.543689320388346,9951.456310679612,0.04118773946360153,0.04118773946360153,0.02826086956521739,0.013043478260869565,0.01919948014419097,0.0281208674477785,1.0511093718464428
ROST,1,8127.009646302251,1872.990353697749,0.7273449920508744,0.7273449920508744,0.4894179894179894,0.21075837742504408,0.321168088907293,0.4833218400540881,0.5179067947324948
SE,0,246.5483234714004,9753.451676528599,0.0632295719844358,0.0632295719844358,0.24778761061946902,0.13606194690265486,0.1836149904535082,0.10774923320516759,1.555543534105498
SHOP,1,6905.144694533763,3094.855305466237,0.8187599364069952,0.8187599364069952,0.8412698412698413,0.3818342151675485,0.5667676857279338,0.6812097139091183,1.6847018165607412
SPGI,1,4188.102893890675,5811.897106109325,0.45310015898251194,0.45310015898251194,0.5149911816578483,0.5335097001763669,0.5241686664803148,0.4873406468948408,1.1604978087746416
SPLK,0,474.2765273311897,9525.723472668811,0.04769475357710652,0.04769475357710652,0.21340388007054673,0.427689594356261,0.30211027606062046,0.12003780725181094,0.6018691191616997
SQ,0,1583.6012861736333,8416.398713826367,0.18680445151033387,0.18680445151033387,0.3439153439153439,0.10229276895943562,0.18756346343767785,0.18718357275908046,1.3704947411652741
