,sharpe_0,sharpe_1,sharpe_2,sharpe_3
aeis,-2.0781371856655566,0.5854781121962943,0.2420020907245863,0.2732258474232523
adv,-0.5955691411702467,0.7370054007838087,1.3655430700203792,1.3745402408109106
adxs,-1.2491801460103968,1.3632900435006023,1.6498162605742774,1.7591595980799095
adn,0.2700085319646049,0.598584055973122,-0.1826661198178126,0.3065012267056027
agle,-0.7198638129607957,0.4911025440356604,0.6586270226492656,1.1335836685612464
aehr,-1.2154501766333503,0.5008904786241766,-0.6386230023321464,0.3129977250355031
amtx,-0.3874509130373439,1.5982173627066885,0.3122831979582379,0.726250796346781
asle,-0.9179333691660098,0.5276352104571499,1.7073118969781074,0.5586276128343635
aerc,-0.7390582392999969,0.1321994441648569,-0.0175433329226319,0.4390355534592985
avav,0.5868392118130934,0.6646991823773325,0.9331133884778712,0.5362983682825455
avte,-2.1283434309319547,1.89554159805618,0.4609181645163903,2.300366943461966
aeha,-0.0223674247786632,1.0949858241785495,2.296662836626739,0.4293950861355287
gmfi,0.2455126755064337,0.6947954723293136,3.540329671169979,0.6260618034099332
aemd,-0.1261730166721946,2.6022017064494007,-1.586018833044309,-0.0309896763296098
afmd,-1.2021829785560805,1.529634228868843,1.9925916723305743,0.9633376625849438
agen,-0.07802397253452824,0.34245864947156673,-0.2043649410397158,-0.5051036188186435
aggr,-0.9642083809853489,1.1622338709106466,1.1347969110565743,0.33331233354461276
agrx,-0.47043120780270375,-0.0193815475051614,1.0222458183575804,0.1377227439106934
agri,-1.6230645259110748,0.9989606721486729,0.5123868059377957,1.1635290946920795
agfy,-1.3845945011124656,0.9902353351516685,-0.2857934967478451,0.4621827528933658
agfs,-0.7923374770737492,1.835823552796435,1.4628947227115858,1.0036517466363102
aimd,-0.8834397187857352,2.026792449402734,-2.740633121303889,0.8246534327657827
airs,-0.7911957844597315,0.6774525423551928,0.2861754148341162,1.2628304922568139
abnb,-2.080053154730146,1.4203750948130371,2.133060095274493,1.25686436473418
airn,-1.6631839116370342,0.7624649573816069,0.27329039824681306,0.8082997478822278
akan,-0.041775946797510434,0.4662343643312995,-2.3581065737841866,1.3537789511502667
akba,-0.4671836830810788,0.2903214177554616,-0.07421115516551337,1.0253634666959823
akus,-0.5710921797631836,0.034498750116557515,-1.0572910233882031,0.8263642580837196
akts,-0.8256207180327447,-0.19388092829526576,1.2302811740832948,1.0173436871946215
akya,-0.36376939585715024,1.5813954437573476,-0.9793391767156036,0.6327623271341183
aku,-0.6883080125031128,0.07011606730006908,-1.3690286909013212,1.7886899085467236
apcs,-1.8454804684031778,1.918945362716923,0.7229084107748457,2.617761103833498
alrm,-1.2225166588157228,0.30452017159158273,1.835750537374045,-0.26976548167979286
tcrt,-0.5915561637880467,1.880415228170932,0.17159008262734493,1.233666544327846
albo,-1.1273783093267535,1.6158247427309407,0.29944110750982417,-0.25936282729688576
aldx,-0.43032964037514854,1.3364437088118186,1.2657085521515246,0.8247611692012677
alrs,-1.1618042743996064,1.063551229309111,0.5505706660259178,1.79293629523726
astl,-1.471998313258377,-0.2244078393972899,-1.0769155326695274,0.7161867642470311
algn,-0.4982440149645023,0.974040906356754,1.2245277323681627,0.47604332793027093
