stock,price,sim1_direction,sim2_direction,sim3_direction,sim4_direction,sim5_direction,RSI,RSIRev,fair_value_mult,geomean,sharpe
EC,14.470000267028809,0,0,0,0,0,0.26701361088871095,0.7329863891112891,0.12460191082802548,0.7290619765494137,0.5404225061663622
ECL,283.7200012207031,1,1,1,1,1,0.877101681345076,0.12289831865492395,0.9422770700636943,0.4556113902847571,0.5211372227497518
ED,111.94000244140625,1,1,1,1,1,0.7065652522017614,0.29343474779823864,0.8387738853503185,0.7231993299832495,0.4363379742169429
EDIT,3.6500000953674316,1,1,1,1,1,0.9665732586068855,0.03342674139311452,0.9828821656050956,0.9574958123953099,0.16947363920306122
EEM,67.56999969482422,0,0,0,0,0,0.4399519615692554,0.5600480384307446,0.4247611464968153,0.7784757118927973,0.5470996977175764
EIX,74.83999633789062,1,1,1,1,1,0.6961569255404323,0.3038430744595677,0.7328821656050956,0.9309045226130653,0.2787388281418157
EL,84.9000015258789,1,1,1,1,1,0.5204163330664532,0.4795836669335468,0.607484076433121,0.3082077051926298,0.20117458326056506
ELF,73.48999786376953,1,1,1,1,1,0.8297872340425532,0.17021276595744683,0.9263628966639544,0.532133676092545,0.4727581727756118
ELV,408.1700134277344,0,0,0,0,0,0.6200960768614892,0.37990392313851085,0.7456210191082803,0.9639865996649917,0.5730054551225643
EMBJ,67.23999786376953,1,1,1,1,1,0.900720576461169,0.09927942353883101,0.9585987261146497,0.4484924623115578,0.48981738011471326
EME,787.2899780273438,0,0,0,0,0,0.14531625300240192,0.8546837469975981,0.05732484076433121,0.3249581239530988,1.0159912628768168
EMR,141.55999755859375,0,0,0,0,0,0.36829463570856685,0.6317053642914332,0.26910828025477707,0.3232830820770519,0.5751680421892373
ENPH,44.54999923706055,0,0,0,0,0,0.22377902321857485,0.7762209767814252,0.07921974522292993,0.35845896147403683,0.7908968328420994
ENSG,166.8300018310547,1,1,1,1,1,0.5212169735788631,0.4787830264211369,0.7607484076433121,0.1306532663316583,0.7871984747439207
EOG,129.38999938964844,0,0,0,0,0,0.200160128102482,0.799839871897518,0.2217356687898089,0.6155778894472361,0.3982101681844087
EPAM,86.8499984741211,1,1,1,1,1,0.3026421136909528,0.6973578863090473,0.4765127388535032,0.01340033500837521,0.3120247091534811
EQT,51.709999084472656,1,1,1,1,1,0.266613290632506,0.733386709367494,0.37898089171974525,0.18467336683417085,0.30294731779337586
ERIE,257.1300048828125,1,1,1,1,1,0.8943154523618895,0.10568454763811053,0.9872611464968153,0.585427135678392,0.5517480236122742
ES,73.2300033569336,1,1,1,1,1,0.7321857485988791,0.2678142514011209,0.8407643312101911,0.6394472361809045,0.35223204370741745
ETN,413.4200134277344,0,0,0,0,0,0.41953562850280224,0.5804643714971978,0.49920382165605093,0.6319095477386935,0.8631827803056618
ETR,113.83000183105469,0,0,0,0,0,0.489191353082466,0.510808646917534,0.4940286624203822,0.8634840871021775,0.7115448436029618
EVRG,86.2699966430664,1,1,1,1,1,0.6397117694155324,0.3602882305844676,0.6592356687898089,0.8840033500837521,0.46144781785765254
EW,95.18000030517578,1,1,1,1,1,0.9487590072057646,0.05124099279423544,0.9753184713375797,0.7788944723618091,0.4814586875186789
