,price,direction,RSI,RSIRev,fair_value_mult,geomean,sharpe,weighted_sharpe,et,schwab,rollover,roth,simple,fid,Owned,inEt,inFid,in_self_managed,currentlyActive,status,status_scaled,sharpe_capped,sharpe_scaled,weighted_sharpe_capped,weighted_sharpe_scaled,sharpe_adj_status,w_sharpe_adj_status,mean_sharpe_adj_status,et_norm,fid_norm,schwab_norm,et_target,et_diff,et_bid_ask,et_nshares,up_down,exact_amt,fid_target,fid_diff,fid_bid_ask,fid_nshares,schwab_target,schwab_diff,schwab_bid_ask,schwab_nshares
TREX,58.619998931884766,0,0.0451277955271565,0.9548722044728436,0.1016679904686258,0.2101086048454469,0.7216633305061926,1.6859415790781322,2521,0,0,2931,0,2931,5452,1,1,1.0,1,0.08162227453835658,1.8372043165903542,0.7216633305061926,1.8685363240509987,1.6859415790781322,3.547402386277108,3.1535796919172525,10.23995055315074,6.696765122533996,0.01904176993306264,0.017478981565989527,0.028373988068483888,1946.6953613897995,-574.3046386102005,60.93499665421671,-9,1,286.1656171353012,2463.8931742828945,-467.1068257171055,60.85493999364116,-8,293.1203211402796,293.1203211402796,57.233123427060235,5
TECH,68.2300033569336,0,0.0714856230031948,0.9285143769968052,0.6616362192216044,0.0538847117794486,0.6847363644781133,1.0646322308184022,0,0,0,0,0,0,0,0,0,1.0,1,0.08808407212783274,1.7232686617160435,0.6847363644781133,1.8316093580229194,1.0646322308184022,2.9260930380173775,2.8374722319807746,6.361209856355329,4.599341044168052,0.0,0.0,0.00902114444427806,0.0,0.0,68.64971908909877,0,1,66.79384009093276,0.0,0.0,68.64971908909877,0,93.19383479605892,93.19383479605892,66.79384009093276,1
VAC,93.95999908447266,0,0.097444089456869,0.902555910543131,0.3407466243050039,0.0509607351712614,0.4134389206259882,0.8161791471806246,0,0,0,0,0,0,0,0,0,1.0,1,0.09140773997340669,1.6694741057557618,0.4134389206259882,1.5603119141707942,0.8161791471806246,2.6776399543796003,2.101655218175733,5.177512877243017,3.6395840477093753,0.0,0.0,0.005005805499603862,0.0,0.0,94.64470844290324,0,1,92.11296668195875,0.0,0.0,94.64470844290324,0,51.71297429420765,51.71297429420765,92.11296668195875,1
CROX,84.81999969482422,1,0.125,0.875,0.1830818109610802,0.0588972431077694,0.6087823368682004,0.2996828248745989,0,0,0,0,0,0,0,0,0,1.0,1,0.09855206501303897,1.5633647394519263,0.6087823368682004,1.7556553304130065,0.2996828248745989,2.1611436320735744,2.4107252632126466,3.336050286595325,2.8733877749039856,0.0,0.0,0.0016770355358227832,0.0,0.0,85.46248177471784,0,1,0.0,0.0,0.0,85.46248177471784,0,17.32478330637084,17.32478330637084,81.77319482223554,0
LYB,90.58999633789062,0,0.0435303514376996,0.9564696485623004,0.6882446386020651,0.2719298245614035,0.3828969483072221,1.646375586297447,0,0,0,0,0,0,0,0,0,1.0,1,0.10675066988131578,1.455318400724402,0.3828969483072221,1.5297699418520283,1.646375586297447,3.5078363934964223,1.8564779464251278,6.211632669314147,4.034055307869638,0.0,0.0,0.016342280698454746,0.0,0.0,90.90874635069214,0,1,177.54312452015887,0.0,0.0,90.90874635069214,0,168.8255649834566,168.8255649834566,88.77156226007943,2
TGLS,33.900001525878906,1,0.2851437699680511,0.7148562300319489,0.7577442414614773,0.043859649122807,0.5410423025689274,0.8431512666999146,0,0,0,0,0,0,0,0,0,1.0,1,0.10859056601403322,1.432823470041419,0.5410423025689274,1.6879152961137334,0.8431512666999146,2.70461207389889,2.117158368888878,4.160352798414506,3.138755583651692,0.0,0.0,0.0044935639589414374,0.0,0.0,34.29651694484195,0,1,32.88850440381233,0.0,0.0,34.29651694484195,0,46.42121183424041,46.42121183424041,32.88850440381233,1
COF,93.54000091552734,0,0.0563099041533546,0.9436900958466452,0.5599682287529786,0.1746031746031746,0.3100244473391948,1.5124997949696046,0,0,0,2619,0,2619,2619,0,1,1.0,1,0.11870867009551796,1.3189675364676405,0.3100244473391948,1.456897440884001,1.5124997949696046,3.37396060216858,1.6426972107393547,4.972783181565624,3.3077401961524893,0.0,0.017478981565989527,0.011468455092408895,0.0,0.0,93.90473675773092,0,1,91.22790896146505,2463.8931742828945,-155.1068257171055,96.02981385947275,-2,118.47602217763932,118.47602217763932,91.22790896146505,1
TSCO,204.47000122070312,0,0.1246006389776357,0.8753993610223643,0.5595710881652105,0.0793650793650793,0.5696797462440477,1.380071129532798,1840,0,0,2658,0,2658,4498,1,1,1.0,1,0.13385253802853123,1.1743273843190833,0.5696797462440477,1.7165527397888538,1.380071129532798,3.2415319367317736,1.8860982787850111,3.9791294638226327,2.932613871303822,0.01904176993306264,0.017478981565989527,0.008663025703626358,1946.6953613897995,106.69536138979947,200.2262031692676,1,1,0.0,2463.8931742828945,-194.1068257171055,208.70363232300588,-1,89.49425333388244,89.49425333388244,200.2262031692676,0
AXP,149.32000732421875,0,0.1130191693290734,0.8869808306709265,0.6544876886417792,0.0964912280701754,0.4260963340034319,1.3506645623103863,0,0,0,3136,0,3136,3136,0,1,1.0,1,0.14465077442304758,1.0860034334103144,0.4260963340034319,1.572969327548238,1.3506645623103863,3.212125369509362,1.635456026056728,3.551226570401933,2.5933412982293307,0.0,0.017478981565989527,0.007386575231579232,0.0,0.0,149.2319332246943,0,1,145.62383348967737,2463.8931742828945,-672.1068257171055,152.69799925567605,-4,76.30775408735241,76.30775408735241,145.62383348967737,1
ABNB,126.36000061035156,0,0.0948275862068965,0.9051724137931034,0.1323943661971831,0.537542662116041,0.1810005899629885,-0.1558055772728692,632,0,0,253,0,253,885,1,1,1.0,1,0.15030840658290917,1.0437505363320523,0.1810005899629885,1.3278735835077946,-0.1558055772728692,1.7056552299261063,1.344450770127917,1.745969355165946,1.5452100626469316,0.01904176993306264,0.0018408018072814322,0.0003499177941858724,1946.6953613897995,1314.6953613897995,121.04579842614692,11,1,0.0,259.48531332017393,6.48531332017393,121.04579842614692,0,3.614860764616573,3.614860764616573,121.04579842614692,0
