stock,fair_value_mult,dev_quantile,drop,climb,geomean,score,sharpe,direction,RSI,RSIRev
DDOG,1.0300319859516145,0.4623015873015873,0.9730983930706688,2.027606519112296,1.4046567714312943,0.9845304041624248,,,,
DOCU,0.9418855679595416,0.0952380952380952,0.8313820324540504,1.4307836577152844,1.0906547690966988,0.5715389889537099,,,,
DUOL,0.9332048093063416,0.1063829787234042,0.7922443134681754,1.3381666819254556,1.0296382589181594,0.569579846800585,,,,
EDIT,0.7846247929088077,0.0079365079365079,0.5471620305945614,1.2754873339619233,0.8354030402435997,0.2567561744074781,,,,
ETSY,0.9571077141950924,0.1666666666666666,0.9003876947927516,1.305128040722327,1.0840300862962042,0.6579957060031248,,,,
FSLY,0.9549108086432664,0.2936507936507936,0.5639599889590183,1.0341662445405673,0.7636939071728199,0.6359283110985174,,,,
FUV,0.949922514795389,0.4424603174603174,0.6171491272707841,1.518817218256377,0.9681615158282026,0.7922541718184645,,,,
GH,0.9044387508334936,0.0436507936507936,0.6489015384411352,1.0884884660343623,0.8404295569440243,0.4086424555528644,,,,
GMED,0.9869082416756868,0.248015873015873,0.9398049285563362,1.226708045468821,1.073716101691368,0.7288426794512787,,,,
GOOG,0.98033757726415,0.1051587301587301,0.9356872223919944,1.2189157621756284,1.067953137473707,0.585573404466602,,,,
