Date,mine1,mine2
2019-05-02,177.54138665094675,4.04154879584566
2019-05-03,179.97359860807694,4.085504153218542
2019-05-06,179.7473455700665,4.079349667323659
2019-05-07,176.804810976336,3.974414452037423
2019-05-08,179.44298614114817,3.9964129525094894
2019-05-09,178.1373806599629,3.975122031587089
2019-05-10,179.79342037498714,3.997660976863172
2019-05-13,175.7748329737113,3.8828735563463592
2019-05-14,177.52636855119698,3.933114783296386
2019-05-15,179.89139668883485,3.990695088752846
2019-05-16,181.40067875617228,4.033334743471578
2019-05-17,179.3989917083766,3.974929554558848
2019-05-20,177.49440607601292,3.938174863209045
2019-05-21,178.76137715083465,3.970250325172622
2019-05-22,178.92210006225812,3.9584109204242655
2019-05-23,175.99314322782138,3.889024737630024
2019-05-24,176.97967800017653,3.9079205590996935
2019-05-28,176.65286642778062,3.9094240124157644
2019-05-29,174.81891694653274,3.86796271618937
2019-05-30,176.2715500195797,3.893863224718914
2019-05-31,175.11483680446307,3.855887779756043
2019-06-03,174.33290020545135,3.80325407179078
2019-06-04,179.10060577166925,3.911405359810208
2019-06-05,181.12568319172559,3.9818990645010746
2019-06-06,181.65626220654585,4.0084246323236234
2019-06-07,184.98660264722216,4.067523545705505
2019-06-10,186.30431246036727,4.067607907390851
2019-06-11,185.34889566301584,4.038858345509581
2019-06-12,185.2717013286956,4.050949110260045
2019-06-13,186.91777511024253,4.057663382823856
2019-06-14,185.50211979585515,4.021405946141464
2019-06-17,186.43226221816255,4.04716270592804
2019-06-18,187.91519943214433,4.088542893832774
2019-06-19,189.133471044121,4.138937418842119
2019-06-20,191.72397981592692,4.189750730622338
2019-06-21,190.72158634718252,4.154178834858959
2019-06-24,190.01190161950757,4.138886280308217
2019-06-25,186.8959294905619,4.036599279931564
2019-06-26,188.1297378412332,4.051951324098469
2019-06-27,190.0817964693286,4.071668825176465
2019-06-28,191.43518451229582,4.114434869795833
2019-07-01,192.1403915110833,4.143520066285922
2019-07-02,193.02681310868715,4.145329362976
2019-07-03,193.78673318970112,4.172192952703881
2019-07-05,192.73742257785392,4.168186455471242
2019-07-08,191.78366574996403,4.153389744261343
2019-07-09,192.30350797782344,4.1710736689580425
2019-07-10,193.57285723570877,4.194538533251729
2019-07-11,193.3195821683698,4.198772260365171
2019-07-12,193.9854670463196,4.194580456153736
2019-07-15,194.52202592712672,4.198889215763662
2019-07-16,193.0892868380192,4.1745355260128
2019-07-17,193.76153795753808,4.1950795437431445
2019-07-18,194.99576882438865,4.2132097952756284
2019-07-19,193.49249580800753,4.183041371684727
2019-07-22,195.00020021191997,4.233551614808851
2019-07-23,194.76195047734757,4.219794494896354
2019-07-24,197.59292948525186,4.289220131876836
2019-07-25,195.57823539544086,4.235588800909907
2019-07-26,197.25189315986384,4.2814910006828875
2019-07-29,196.03681569116395,4.235731947965013
2019-07-30,198.47855924671163,4.275714607167638
2019-07-31,196.1945666048268,4.23084974377402
2019-08-01,197.167803147534,4.300889171552111
2019-08-02,196.2752106538502,4.273840111715919
2019-08-05,190.71780919724893,4.115314892534227
2019-08-06,192.75395612996394,4.176963248802205
2019-08-07,193.71027354154415,4.2122639187555695
2019-08-08,196.8787517131951,4.3152565448564575
2019-08-09,195.7109102952658,4.268681205007342
2019-08-12,192.90462353378692,4.105675171672667
2019-08-13,200.10215191492503,4.189028288196219
2019-08-14,196.4624328301801,4.083291722107758
2019-08-15,196.03684471712688,4.085800885160069
2019-08-16,198.96631657415597,4.174745338215023
2019-08-19,200.44479980116972,4.199230880927804
2019-08-20,200.74524824648222,4.200687668940459
2019-08-21,203.69925280667832,4.2732612335897
2019-08-22,202.31204436044266,4.226977915792989
2019-08-23,198.38850534003197,4.11820703935536
2019-08-26,200.21621464826535,4.167097404192138
2019-08-27,199.57977997148086,4.146592291767785
2019-08-28,200.17664653226777,4.164709760629854
2019-08-29,202.64450119188422,4.210226519751467
2019-08-30,202.70030928823687,4.201472559772192
2019-09-03,199.92280576411423,4.1393931305656695
2019-09-04,201.14598612275287,4.169877645910997
2019-09-05,202.08277262175488,4.2150506837626915
2019-09-06,200.76602705323944,4.190328553938395
2019-09-09,198.54774975684518,4.106757926346254
2019-09-10,199.61293285999858,4.0717596194243075
2019-09-11,201.64347123883573,4.132870441617991
2019-09-12,201.41099622967593,4.0986039834797054
2019-09-13,200.62835660751227,4.089873091685965
2019-09-16,201.6971021269373,4.08867887965318
2019-09-17,203.2851317297756,4.12261663973354
2019-09-18,202.01613689909908,4.09838661579469
2019-09-19,202.68600639219622,4.100765611581321
2019-09-20,203.27237760668396,4.0748855712470515
2019-09-23,203.4962228437636,4.051865596665668
2019-09-24,199.41635379947644,3.962398190283184
2019-09-25,200.31205859930716,3.987695694776312
2019-09-26,199.49271217612306,3.9677070411980684
2019-09-27,196.65914797481463,3.8935392533226256
2019-09-30,197.60711251583126,3.9233991949580402
2019-10-01,194.35781471054156,3.8709398882363133
2019-10-02,192.78167523834165,3.8534488526448194
2019-10-03,194.85402645013284,3.9221460601295033
2019-10-04,197.63156009859105,3.9704715435590385
2019-10-07,196.81399605566975,3.9553307821841392
2019-10-08,193.54760644686363,3.8594565722439644
2019-10-09,195.62020637704228,3.9019262583003504
2019-10-10,195.1712394340174,3.892151302436831
2019-10-11,197.58826115648375,3.959602387480911
