stock,price,direction,RSI,RSIRev,fair_value_mult,geomean,sharpe,weighted_sharpe
JNJ,158.5500030517578,1,0.9300559552358113,0.0699440447641887,0.9988076311605724,0.3766722408026756,0.5298934954993443,1.4361185429569778
KKR,75.44000244140625,1,0.9920063948840927,0.007993605115907298,0.9805246422893482,0.9109531772575251,0.6141748871377605,2.7083116920994805
KNSL,341.5400085449219,0,0.08215451577801959,0.9178454842219804,0.1193304535637149,0.05092592592592592,1.2423512894573578,1.7134279598771869
KO,58.65999984741211,1,0.9364508393285371,0.06354916067146288,0.994435612082671,0.5263377926421404,0.474499881746153,1.1711021572250897
KR,44.5099983215332,1,0.5711430855315748,0.4288569144684252,0.962241653418124,0.35451505016722407,0.4881690449513181,0.178134074847702
LGIH,120.5,1,0.7569944044764189,0.24300559552358114,0.7344992050874404,0.5288461538461539,0.6475324092692635,0.6663195461131595
LPLA,222.0500030517578,0,0.3101518784972022,0.6898481215027978,0.7027027027027027,0.2817725752508361,0.6596123577843285,2.0189770099377076
LRCX,697.1400146484375,1,0.5199840127897681,0.48001598721023186,0.8139904610492846,0.3770903010033445,0.8895859651631026,2.2518871666754867
LSPD,16.639999389648438,1,0.765,0.235,0.6535626535626535,0.7507246376811594,0.09716509570734023,1.5752668615352186
LULU,456.92999267578125,1,0.8613109512390088,0.1386890487609912,0.8116057233704292,0.5865384615384616,0.6778995103472791,1.1850103322462298
LYB,92.81999969482422,0,0.36211031175059955,0.6378896882494005,0.9471383147853736,0.391304347826087,0.36683054531381787,0.9135762197639603
MA,408.69000244140625,1,0.6698641087130296,0.3301358912869704,0.8155802861685215,0.3729096989966555,0.7763263901756166,2.81626468124252
MASI,101.41000366210938,1,0.9240607513988809,0.07593924860111911,0.9940381558028617,0.13294314381270902,0.5382260963104971,2.029903297722799
MCD,286.5400085449219,1,0.9808153477218226,0.01918465227817745,0.9936406995230525,0.6400501672240803,0.7752725141216065,1.6069522642799563
MCHP,83.55000305175781,1,0.7322142286171063,0.2677857713828937,0.9467408585055644,0.3695652173913043,0.610180442391381,2.0926237632368188
MDB,433.6700134277344,1,0.8606020942408377,0.13939790575916233,0.704928664072633,0.4605077574047955,0.9705688370326826,2.524647201868777
MDXG,7.860000133514404,1,0.8489208633093526,0.15107913669064743,0.8294912559618441,0.6584448160535117,0.42663657168440894,1.08094451475879
MELI,1584.5999755859375,1,0.8377298161470823,0.1622701838529177,0.7197933227344993,0.6780936454849499,0.8023861675978415,2.2138113517545346
