stock,price,direction,RSI,RSIRev,fair_value_mult,geomean,sharpe,weighted_sharpe,et,schwab,rollover,roth,simple,fid,Owned,inEt,inFid,in_self_managed,currentlyActive,et_status,et_status_scaled,fid_status,fid_status_scaled,schwab_status,schwab_status_scaled,sharpe_capped,sharpe_scaled,weighted_sharpe_capped,weighted_sharpe_scaled,et_sharpe_adj_status,et_w_sharpe_adj_status,et_mean_sharpe_adj_status,fid_sharpe_adj_status,fid_w_sharpe_adj_status,fid_mean_sharpe_adj_status,schwab_sharpe_adj_status,schwab_w_sharpe_adj_status,schwab_mean_sharpe_adj_status,et_norm,fid_norm,schwab_norm,et_target,et_diff,et_bid_ask,et_nshares,up_down,exact_amt,fid_target,fid_diff,fid_bid_ask,fid_nshares,schwab_target,schwab_diff,schwab_bid_ask,schwab_nshares
LGIH,118.06999969482422,1,0.724730323611666,0.275269676388334,0.7322208978943187,0.4868366067697451,0.6656328807381726,1.2908357216931048,0,0,0,0,0,0,0,0.0,0.0,1.0,1,0.6278364929273987,-0.2420926788641878,0.6280160291785651,-0.2424685379147754,0.6193785579882687,-0.2245655278029352,0.6656328807381726,1.7818638341841455,1.2908357216931048,5.153898540032468,0.8694910520683358,0.6723526497685938,0.7709218509184648,0.8693022897880459,0.6719383956301421,0.7706203427090941,0.8783391330941059,0.6919565643204135,0.7851478487072597,0.0,0.0,0.0023929054566345,0.0,0.0,127.51293277248168,0,1,0.0,0.0,0.0,127.51293277248168,0,22.64612223482524,22.64612223482524,120.93913884253,0
MUSA,369.5499877929688,0,0.5665201757890531,0.4334798242109469,0.5883988875645609,0.7254492269118261,0.8506549310682304,1.4121167917912285,0,0,0,0,0,0,0,0.0,0.0,1.0,1,0.6175714634720559,-0.2208645748984858,0.6183800295266455,-0.2225186879805465,0.6223660627543656,-0.2307171308493503,0.8506549310682304,1.9668858845142032,1.4121167917912285,5.275179610130592,0.86122095797375,0.6926014182883742,0.7769111881310621,0.8602578532438075,0.6906988206558063,0.775478336949807,0.8555001977626077,0.6813456595376789,0.7684229286501433,0.0,0.0,0.0025762623951525,0.0,0.0,389.13301055259245,0,1,0.0,0.0,0.0,389.13301055259245,0,24.38138663098864,24.38138663098864,373.0138709113159,0
AMD,121.16000366210938,1,0.74190970834998,0.2580902916500199,0.6932856575288041,0.5244463017133305,0.8883661574118008,1.4599037200173943,0,0,0,485,0,485,485,1.0,1.0,1.0,1,0.6415775370358859,-0.2713566197027759,0.6403247547187535,-0.2686449684385775,0.634241254486137,-0.255604545398512,0.8883661574118008,2.0045971108577736,1.4599037200173943,5.3229665383567575,0.8280240423496618,0.6352627302558094,0.7316433863027356,0.829587002641966,0.6381495281990965,0.7338682654205313,0.8371446389713112,0.6522165343255092,0.7446805866484102,0.0234244989142381,0.0033683129799377,0.0025907016377397,2382.1450472838783,2382.1450472838783,125.49156660270168,19,1,0.0,448.8724020899554,-36.127597910044585,134.76661740014202,0,24.51803760133987,24.51803760133987,125.49156660270168,0
TDG,962.8699951171876,1,0.6987614862165401,0.3012385137834599,0.8315454906634883,0.4997910572503134,0.8469556057438792,0.8953313532256212,0,0,0,0,0,0,0,0.0,0.0,1.0,1,0.6488572805718278,-0.2873003681636467,0.6519758093741735,-0.294232014692833,0.6412108378819656,-0.2705619478906733,0.8469556057438792,1.963186559189852,0.8953313532256212,4.758394171564985,0.8238194334269356,0.6388006853188146,0.7313100593728752,0.8199763498486513,0.6319307040693788,0.725953526959015,0.8331740719551002,0.6556997084010017,0.7444368901780509,0.0,0.0,0.0016354325480806,0.0,0.0,1015.4596033168058,0,1,0.0,0.0,0.0,1015.4596033168058,0,15.477504674478292,15.477504674478292,976.2116477936016,0
ORCL,116.20999908447266,1,0.8427886536156612,0.1572113463843387,0.8974970202622169,0.4377350605933974,0.6381592946322606,3.745933309089856,0,0,0,0,0,0,0,0.0,0.0,1.0,1,0.6590293660547185,-0.310149183010982,0.6600442542039399,-0.3124677611214835,0.6439976071104367,-0.2766211266195248,0.6381592946322606,1.7543902480782334,3.745933309089856,7.6089961274292195,0.8400100017091521,0.5329138880753842,0.6864619448922682,0.8389159110899583,0.5304123310928494,0.6846641210914038,0.855991661798838,0.5704350884979221,0.71321337514838,0.0,0.0,0.009960869763996,0.0,0.0,122.8276406794138,0,1,117.80638466467944,0.0,0.0,122.8276406794138,0,94.26827692469143,94.26827692469143,117.80638466467944,1
AMZN,146.08999633789062,1,0.6939672393128246,0.3060327606871754,0.6889153754469607,0.5783535311324697,0.7719918939464777,2.9253967615061653,0,0,0,1169,146,1315,1315,0.0,1.0,1.0,1,0.6504825802615338,-0.2909051257497378,0.6503383819564704,-0.2905846215242383,0.6465744459225399,-0.2822655547261722,0.7719918939464777,1.8882228473924507,2.9253967615061653,6.788459579845529,0.8311792545406527,0.5728401949470943,0.7020097247438735,0.8313486029976748,0.5731919336275394,0.7022702683126071,0.8357563340985792,0.582397672297074,0.7090770031978266,0.0,0.0089290174647829,0.0066860946378584,0.0,0.0,155.20415035076135,0,1,0.0,1189.9100652440793,-125.0899347559207,155.20415035076135,-1,63.27626359944288,63.27626359944288,149.28182113844477,0
KO,58.43999862670898,1,0.8617658809428685,0.1382341190571314,0.9396106475963448,0.4295862933556205,0.4438946183091597,1.9586688648880413,0,0,0,701,0,701,701,0.0,1.0,1.0,1,0.6640191016678656,-0.3216202006112015,0.6653893109177319,-0.3248022758439255,0.6478197511358362,-0.2850080281215123,0.4438946183091597,1.5601255717551326,1.9586688648880413,5.821731683227405,0.8667143458362254,0.567471118074286,0.7170927319552557,0.8654885700836384,0.5642990368704159,0.7148938034770271,0.8809433387900524,0.6052767404983903,0.7431100396442214,0.0,0.0050281199996335,0.0037323652611929,0.0,0.0,60.2374597233516,0,1,59.11156493916528,670.0637131035618,-30.93628689643822,60.2374597233516,-1,35.322582300793215,35.322582300793215,59.11156493916528,1
LSPD,16.06999969482422,1,0.6599749058971142,0.3400250941028858,0.5856966707768188,0.7074235807860262,0.0816124708913775,5.232677314560116,32,0,16,0,0,16,48,1.0,1.0,1.0,1,0.6474954127815916,-0.2842928200887323,0.6449070002649206,-0.2786084692817159,0.6488727861944662,-0.2873346783355152,0.0816124708913775,1.1978434243373504,5.232677314560116,9.09574013289948,0.9499733626619916,0.5338376849397717,0.7419055238008816,0.950948682800266,0.540579534895514,0.74576410884789,0.9494518519784968,0.5302645317358081,0.7398581918571525,0.0026422911972655,0.0299670786804823,0.009960869763996,268.7067463894432,236.7067463894432,16.582656876497296,14,1,99.49594125898378,3993.510897308357,3977.510897308357,16.582656876497296,240,94.26827692469143,94.26827692469143,16.582656876497296,6
LRCX,715.9199829101562,1,0.8489812225329605,0.1510187774670395,0.875248311481923,0.4571667363142499,0.8873012085165305,2.123579193064982,0,0,0,716,0,716,716,1.0,1.0,1.0,1,0.6701848867875722,-0.3360522872520761,0.6706974437834619,-0.3372653537584256,0.6558709494469865,-0.3029798530379103,0.8873012085165305,2.0035321619625037,2.123579193064982,5.986642011404346,0.7917364818115679,0.5480570618447346,0.6698967718281512,0.791069349680293,0.5468686191918547,0.6689689844360738,0.8101432088384565,0.5814724212206316,0.695807815029544,0.0201670633316274,0.0051390550429505,0.0039188427473645,2050.881438684525,2050.881438684525,730.5494488920568,3,1,0.0,684.8472797335828,-31.15272026641719,766.9567810892081,0,37.08737912307334,37.08737912307334,730.5494488920568,0
SAM,354.760009765625,1,0.6799840191769876,0.3200159808230124,0.7437425506555423,0.5829502716255746,0.3003379798265224,0.2046195354168675,0,0,355,355,0,710,710,0.0,1.0,1.0,1,0.6627261476149728,-0.3186303718262929,0.664517147569502,-0.3227751973682037,0.6592760427474893,-0.3107120587374289,0.3003379798265224,1.4165689332724951,0.2046195354168675,4.067682353756231,0.894975344630831,0.6395043880639829,0.7672398663474069,0.8936844828939708,0.6357961469372257,0.7647403149155982,0.8974466046472884,0.6466488795126439,0.7720477420799662,0.0,0.0012373936935713,0.0008916286923231,0.0,0.0,377.4266691853233,0,1,0.0,164.8991298826965,-545.1008701173034,377.4266691853233,-1,8.438249116129677,8.438249116129677,359.6931504653677,0
