,dar,dar_0,dar_1,dar_2,dar_3,dar_4,dar_5,dar_6,dar_7
AEG,1.0004095734352856,0.9890017007011599,0.9999660847807925,1.0007793243354959,1.002234588593091,1.0014814136696861,1.001754841700083,1.002084313638215,1.004650664667192
AEHR,0.9996825302698925,0.986580392650077,0.9994020274654408,1.0028605669818345,0.9946409187352805,1.0021674973285466,1.007924570491727,1.0007114916415623,1.0046034486116484
AEIS,1.0004423404444276,0.9836123345738225,1.0014301413071376,1.0014792252811195,1.0034491744694967,1.0024557707572614,1.0029282064892782,1.0015458369965549,1.0076231327573437
AEL,1.0006706067529396,0.9890486161091623,1.0015282581227136,0.9992329554508673,1.0051087275601576,1.0015907201156014,1.0029480796165162,1.0015144496426343,1.0057849770557434
AEM,1.0001377043658404,0.9971628461717514,0.9999823347029597,1.0011657723225473,1.0001808282701599,1.0006771012297626,1.0005690693845537,1.0010451598170627,1.0004546969051495
AEO,1.0006963639172781,0.9904304463462311,1.0007474032330637,1.0048659279947159,1.0014565984070953,1.0012459578876367,1.0027486114859416,1.0025091940185433,1.0042510511664506
AEP,1.0003808463466664,0.9965729865375774,1.0002252036877217,1.0008920299580182,1.0004349162719404,1.0005264800923912,1.0010356538850556,1.0015304735901385,1.0022642371990933
AER,1.0000704281182857,0.9855483447385054,1.0006775713292506,1.0010502172131788,1.0043071090030322,1.001567236342959,1.0030037039764104,1.0029158840529264,1.0074272186427928
AES,1.0004889227933464,0.9887123006340484,1.0012069678550946,1.0015019831863847,1.0023759428999857,1.0014245928765968,1.001976511095673,1.0015868319294312,1.0045729567783317
AEY,0.9994317871552706,0.9928003938914625,0.9991588785338352,0.9976760951452879,1.002961543132703,1.0009319833007466,1.0016495311590623,0.9994924866758264,1.0030289526100185
AEZS,0.998159191994991,0.9876410508303047,0.998788268401287,0.9978365257440756,1.0048332200369938,0.9999031190864589,1.0069387513101442,0.998768452474859,1.0007410506686876
AFB,1.0002163866424447,0.9991537579829076,1.0002510362999226,1.0010768877377374,0.9984423242691942,1.0001742703013425,1.0003547222916782,1.0000927896331664,1.0008812507139428
AFG,1.0003945193577084,0.992600441737501,1.000138090033403,1.000981494285472,1.000851735072948,1.0012773956678305,1.0015451892729033,1.0019317779261843,1.0034280099617083
AFL,1.000679760941302,0.9920383942722976,1.0005310747144385,1.0013625848999848,1.0019466073353753,1.0011117765623043,1.0015185461227316,1.0025672745129985,1.0043604253024236
AFT,1.000287597447693,0.9970513168596734,1.0000506163527512,0.9999995181926288,0.9989070615355179,1.000535912854459,1.0020404050027314,1.0009206855463977,1.0016529957495486
AG,1.0002844615070712,0.9900836926388492,1.0012166769374262,1.0044953473517069,1.0007276787791397,0.9994358814459168,1.0051471032431718,1.0052214492855645,1.0043900391212819
AGCO,1.0004969461325897,0.9896073387197769,1.000731856422696,1.00112815860016,1.00275258761243,1.0020516403295647,1.0021519562065127,1.001352264002037,1.0041397027709265
AGEN,0.9988436655256446,0.9849710195024528,0.9993860048448726,0.9991334835813315,0.9963571774484203,1.0002454990395542,1.0064003557113037,1.0007781917983745,1.0047115484446598
AGI,1.0005597613062702,0.9964774872846475,1.000962248052201,1.0018009660483043,1.0059490857764766,1.000149517023411,1.0038361248851468,1.0018950010303795,1.0016351964658223
AGM,1.0007326563048555,0.9910109469825583,1.0003679459745776,1.0032661212353868,1.0023287283113589,1.001315051984325,1.0057236546356618,1.002309649036334,1.0036100624838935
AGNC,1.0005171110321605,0.9958318950708575,1.0009519508653602,1.0020966055343232,0.9984826328144839,1.0005318399319167,1.001172216251516,1.0016906576713387,1.0034151357700438
AGO,1.0003572219859953,0.9875375627783937,1.0015803675634236,1.0014442283445084,1.0038589146371595,1.001434877455482,1.0046632836127751,1.0007011121543687,1.0046746062636356
AGRO,1.0000918640384475,0.9887357565803045,1.001939985972663,1.0016437434977286,1.0002419625300767,1.000496902623185,1.0033647835066943,1.003984233924265,1.0028177323408405
AGX,1.0001219366038494,0.9953044318188401,1.0000328922781236,0.9999537810358975,1.0033496925884768,1.0005073509850706,0.9992434189561108,1.001262191660392,1.0031233124164403
AGYS,1.000345926553808,0.9901812268854454,1.0001873538566892,1.0024184490413774,1.0006991579638274,1.001863273739668,1.0004158247958117,1.0018376801529127,1.0042634538401431
AHPI,0.9991368495586338,0.9941639058756878,0.9993072800344079,1.0009217136660353,1.0014364764859087,1.000465097688797,1.0021195919805537,0.9988516025488434,0.9995286800290939
AHT,0.9990758995199702,0.9855462423100693,0.9979293749223582,0.9984717244834358,1.0028372097033573,1.0002230640012815,1.0038622309822687,1.0026780082322833,1.004925020326027
AIG,1.0002973514393851,0.990181567164284,0.9995330067269149,1.001662367274253,1.0013598511728123,1.0011799158172972,1.002086323306667,1.0016953402356554,1.0043975300444288
AIKI,0.9983699883710166,0.9899178919469589,0.9992025937527267,0.9973762742073569,1.0046544349736624,0.9977797932422299,1.0017175482634046,0.9978881794301961,1.0005763106029524
AIMC,1.0005583723021452,0.9861879376589539,1.0017894469943696,1.0007979857045926,1.003239250093645,1.0019344141266293,1.002681719634103,1.0040585968939908,1.0076387689396915
AIN,1.0002794698177095,0.9903536979054499,1.000861365165867,1.0010878996332118,1.0002093675939996,1.0011126736617284,1.002407391513739,1.0019071684446617,1.003431209778506
AIR,1.0002989653355299,0.9879509783133279,1.0001164432969836,1.0017978774334249,1.002146453946941,1.0012948360621556,1.0019669556100024,1.002470633529375,1.0044898719198374
AIRI,0.9985410666153678,0.9919421115665094,0.996208418418014,1.0006878642490702,1.0099289868666894,1.0005337035848638,1.004010902897129,1.0030381990450647,0.9953213962161026
AIRT,0.9999486595450253,0.9959079854933467,0.9995234882527151,1.000410986306996,1.0002781277108794,1.000984244789885,1.0006004769261314,1.0013136981039539,1.001247290705683
AIT,1.000432308504624,0.9920907740187344,1.000630995898448,1.001006887343823,1.0013462933602038,1.0010707813916233,1.0013448633695508,1.0023130904454436,1.003741800343088
AIV,1.0005229185732167,0.991893981559382,1.0006297514452966,1.0025725206625096,1.0017557324650974,1.0005510402521605,1.003077552447299,1.0022104606153608,1.0033621041931065
AIZ,1.000597802449979,0.9930454805684393,1.000479968673892,1.001031864740779,1.0029088834576765,1.0012128776936395,1.0019472270995806,1.0013198986271412,1.0041298867906832
AJG,1.000590252960387,0.9948631185418668,1.0007589168555855,1.000955238855549,1.0016348900235192,1.000943871364772,1.0008721818338822,1.0009459526601399,1.0030645980670205
AJRD,1.0003350519683052,0.9907678875995195,0.99990999189419,1.0022043077934917,1.0010869781576537,1.0010754812612128,1.002221815484525,1.0005559271936817,1.0043503328538752
AKAM,0.9996298484396158,0.9852930055169317,0.9987082569442148,1.0013743224545504,0.9967854226969991,1.0018680458690505,1.0031120042060446,1.0011085703546263,1.0082944248150862
AKR,1.0002134822977407,0.9930309665291991,1.0004796606418807,1.0009439422692752,0.9995901084536483,1.0001676122834062,1.0024132252918554,1.002030004342703,1.003139896759456
AL,1.0002231919435136,0.9869607870503283,1.001830902020526,1.0006551011772042,1.0022959024517883,1.0012281161127674,1.0008801153679507,1.002785101352797,1.0048647909512725
ALB,1.0006285517556552,0.9899041141260754,1.0002837363257997,1.0014383975410106,1.0040686761653694,1.0015195915034458,1.0026991019360554,1.0032271766026017,1.0050552477822992
ALBO,0.9993047857671276,0.988457341249121,1.0010722198886848,0.9997306543377285,1.0100209769979904,1.0012172991392216,1.0000291871556002,0.9989919682574799,1.0042451301324637
ALCO,1.0001175344908302,0.9942935562990864,0.9998438875552317,1.000758372585875,1.0014617708346198,1.00019060745266,1.0010794742920972,1.000607369960784,1.0029251168086846
ALE,1.000360575563033,0.9958889002135678,1.0007904089158492,1.001034030563891,1.0005097819062636,1.0004981930926462,1.0006660819734987,1.001175338265358,1.0024322752505528
ALEX,1.0000736880952243,0.990099045564811,1.0013484153042345,1.0002738665453326,1.002167329775801,1.0004451275160413,0.9997725827764974,1.0057673819734794,1.0027463522375735
ALG,1.000340001109557,0.9925963967253714,1.0002751880281744,1.0014806099177815,1.0005328294263625,1.0013542695318634,1.0038881839316984,1.0012271098081136,1.0026418219884254
ALGN,1.0004692142890854,0.9869293223954422,1.000798037100154,1.001380922942214,1.0029637406645044,1.0027408432660954,1.001563519257243,1.0028240147250431,1.0048143248731423
ALGT,1.0002651550222976,0.9930526455395116,0.9994025058652662,1.000979510793559,1.002454629254622,1.0011500125290784,1.0008041282821447,1.0030958065951245,1.0059978246973251
ALJJ,0.9991691597092764,0.9885187879357424,0.9984445357841484,1.0035277150010156,0.9979748395105109,1.0002917963865792,1.0016729981353856,1.000979088728028,1.0018262683887351
ALK,1.0004322519502005,0.9897745766347422,1.0006449919104383,1.0015052785371548,1.0014304065129396,1.001192003177778,1.0017824393958028,1.0028087897401952,1.0046800851113316
ALKS,1.000197623754827,0.9876261535819615,1.001326145145768,1.0004370446113815,0.9996726085171507,1.001354671242608,1.0011047848115253,1.0027562334603823,1.0040836080437803
